market id,market symbol,market name,trade quantity,trade price,date/time [utc]
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,4,89.9,Nov/02/2004 04:23:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,89.5,Nov/02/2004 05:16:46
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,6,89.9,Nov/02/2004 05:45:15
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,89.8,Nov/02/2004 07:01:44
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,41,87.5,Nov/02/2004 13:34:54
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,75,90.0,Nov/02/2004 14:09:01
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,89.9,Nov/02/2004 14:09:01
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,65,94.0,Nov/02/2004 14:21:29
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,35,94.0,Nov/02/2004 14:29:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,208,95.0,Nov/02/2004 14:29:58
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,100,96.0,Nov/02/2004 14:40:47
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,5,96.0,Nov/02/2004 23:25:00
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,10,97.5,Nov/03/2004 00:48:48
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,48,90.1,Nov/03/2004 01:14:23
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,3,96.0,Nov/03/2004 04:37:54
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,1,96.0,Nov/03/2004 04:38:56
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,2,99.9,Nov/03/2004 05:27:41
148925,KERRY.WESTCOAST,Dem Candidate John F Kerry to Win CA,OR & WA,65,99.7,Nov/03/2004 06:46:04
